full_name,study_program,graduation_year,employer,role_title,location,linkedin_url
Prita Pratama,Teknik Industri,2023,PT Semen Indonesia,Operations Manager,"Yogyakarta, Indonesia",https://www.linkedin.com/in/prita-pratama-0001
Ivan Dewi,Teknik Industri,2023,PT Pertamina,Business Analyst,"Surabaya, Indonesia",https://www.linkedin.com/in/ivan-dewi-0002
Miko Wibowo,Teknik Industri,2018,Unilever Indonesia,Operations Manager,"Yogyakarta, Indonesia",https://www.linkedin.com/in/miko-wibowo-0003
Hendra Yulianto,Teknik Industri,2022,PT Kalbe Farma,Business Analyst,Singapore,https://www.linkedin.com/in/hendra-yulianto-0004
Oka Susanto,Teknik Robotika dan Kecerdasan Buatan,2020,Gojek AI Lab,AI Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/oka-susanto-0005
Cindy Purnomo,Teknik Elektro,2019,PT PLN Persero,Automation Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/cindy-purnomo-0006
Fitri Hidayat,Teknik Industri,2020,McKinsey & Company Indonesia,Logistics Manager,"Semarang, Indonesia",https://www.linkedin.com/in/fitri-hidayat-0007
Citra Dewi,Teknik Nanoteknologi,2022,LIPI Indonesia,Chemical Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/citra-dewi-0008
Kevin Nugroho,Teknik Robotika dan Kecerdasan Buatan,2024,PT Automation Indonesia,Automation Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/kevin-nugroho-0009
Eko Wijaya,Teknologi Sains Data,2024,Bukalapak,Machine Learning Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/eko-wijaya-0010
Gilang Hidayat,Teknik Elektro,2021,PT Paiton Energy,Network Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/gilang-hidayat-0011
Yuda Kurniawan,Teknologi Sains Data,2023,Bukalapak,Machine Learning Engineer,Singapore,https://www.linkedin.com/in/yuda-kurniawan-0012
Prita Rahayu,Teknik Robotika dan Kecerdasan Buatan,2023,Intel Indonesia,AI Engineer,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/prita-rahayu-0013
Zara Saputra,Teknik Robotika dan Kecerdasan Buatan,2019,PT Automation Indonesia,Deep Learning Researcher,"Yogyakarta, Indonesia",https://www.linkedin.com/in/zara-saputra-0014
Citra Wahyudi,Teknik Elektro,2021,PT Paiton Energy,Electrical Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/citra-wahyudi-0015
Layla Lestari,Teknik Elektro,2019,PT Paiton Energy,Field Service Engineer,Singapore,https://www.linkedin.com/in/layla-lestari-0016
Qori Susanto,Teknologi Sains Data,2020,Shopee Indonesia,Data Analyst,"Jakarta, Indonesia",https://www.linkedin.com/in/qori-susanto-0017
Kevin Gunawan,Teknik Elektro,2023,Philips Indonesia,Automation Engineer,Singapore,https://www.linkedin.com/in/kevin-gunawan-0018
Arif Kurniawan,Teknologi Sains Data,2019,PT Teknologi Finansial,Business Intelligence Analyst,"Surabaya, Indonesia",https://www.linkedin.com/in/arif-kurniawan-0019
Yani Wijaya,Teknik Industri,2019,PT Bank Mandiri,Supply Chain Analyst,"Jakarta, Indonesia",https://www.linkedin.com/in/yani-wijaya-0020
Cindy Yulianto,Teknik Industri,2021,PT Telekomunikasi Indonesia,Project Manager,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/cindy-yulianto-0021
Indra Saputra,Teknik Robotika dan Kecerdasan Buatan,2024,Gojek AI Lab,Computer Vision Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/indra-saputra-0022
Jasmine Agung,Teknik Elektro,2024,PT Paiton Energy,Network Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/jasmine-agung-0023
Teguh Wibowo,Teknologi Sains Data,2021,Gojek,Data Engineer,"Sydney, Australia",https://www.linkedin.com/in/teguh-wibowo-0024
Yani Rahayu,Teknik Robotika dan Kecerdasan Buatan,2018,NVIDIA Indonesia,Perception Engineer,Singapore,https://www.linkedin.com/in/yani-rahayu-0025
Muhamad Utama,Teknik Elektro,2024,ABB Indonesia,Systems Architect,"Sydney, Australia",https://www.linkedin.com/in/muhamad-utama-0026
Andi Yulianto,Teknik Elektro,2021,PT Schneider Electric,Power Systems Engineer,"Medan, Indonesia",https://www.linkedin.com/in/andi-yulianto-0027
Umar Putra,Teknik Industri,2019,Deloitte Indonesia,Process Improvement Manager,"Surabaya, Indonesia",https://www.linkedin.com/in/umar-putra-0028
Viko Suryadi,Teknik Industri,2024,PT Krakatau Steel,Supply Chain Analyst,"Bandung, Indonesia",https://www.linkedin.com/in/viko-suryadi-0029
Rizki Suryadi,Teknik Robotika dan Kecerdasan Buatan,2019,NVIDIA Indonesia,Perception Engineer,Singapore,https://www.linkedin.com/in/rizki-suryadi-0030
Cindy Setiawan,Teknik Robotika dan Kecerdasan Buatan,2024,Intel Indonesia,ROS Developer,Singapore,https://www.linkedin.com/in/cindy-setiawan-0031
Rizki Prabowo,Teknik Elektro,2021,Ericsson Indonesia,Automation Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/rizki-prabowo-0032
Putri Putra,Teknik Industri,2020,PT Astra International,Project Manager,"Sydney, Australia",https://www.linkedin.com/in/putri-putra-0033
